CC(=O)NCCNC(=O)c1cnn(-c2ccc(C)c(Cl)c2)c1C1CC1,CCC(=O)NCC1CCN(C(=O)c2cnn(-c3ccc(Cl)cc3C)c2C)CC1
C[C@@H](C(=O)C1=c2ccccc2=[NH+]C1)[NH+]1CCC[C@@H]1[C@@H]1CC=CS1,CC(C)c1ccccc1-c1ccc(NC(=O)C[C@H]2CCC[NH+]2C)s1
CCN(C[C@@H]1CCOC1)C(=O)c1ccnc(Cl)c1,CCN(C[C@H]1CCOC1)C(=O)Nc1ccnc(Oc2nccnc2Cl)c1
Cc1ccccc1C[S@](=O)CCCc1ccccc1,Cc1ccccc1CCNC(=O)c1ccccc1C[S@@](=O)Cc1ccccc1
CSCC(=O)NNC(=O)c1c(O)cc(Cl)cc1Cl,CSCc1cc(Cl)cc(C(=O)NCc2ccc(Cl)cc2Cl)c1
c1ccc(-c2cc(N3C[C@H]4[C@@H]5CC[C@@H](O5)[C@H]4C3)c3ccccc3[nH+]2)cc1,O=C(NC[C@@H]1CCN(c2ccccc2)C1)Nc1cccc[nH+]1
Cc1cc(CNC(=O)Nc2cc(-c3ccccc3)on2)no1,Cc1cc(NC(=O)NCc2ccccc2)no1
Cc1ccn2c(=O)c(C(=O)Nc3n[n-]c(C(F)(F)F)n3)cnc2c1,Cc1ccc2nc(=O)c(C(=O)N(C)C)nc(C(F)(F)F)nc21
CN(Cc1ccncc1)C(=O)c1ccc(I)cc1,CN(Cc1ccc(C(=O)N(C)Cc2ccncc2)cc1)C1CC1
COc1ccccc1N1CCN(c2ccc(=O)n(CC(=O)NC3CC3)n2)CC1,COc1ccccc1NC(=O)CN1CCN(c2ccc(C(F)(F)F)nc2)CC1
COC(=O)Cn1nc(C)c(CNc2ncnc3sccc23)c1C,COCCn1nc(NCC(=O)N2CCCCC2)ncn1C
C=CCNC(=O)Nc1ccc(F)c(NC(=O)OC)c1,COC(=O)Nc1ccc(OC)c(C(=O)N(C)C)c1
c1cnn(C[C@H]2CN(CCCOc3ccc4c(c3)OCO4)CCO2)c1,O=C(NC[C@@H]1COc2ccc(Cl)cc2O1)N1CCO[C@@H](Cn2cccn2)C1
COc1cc(C(=O)Nc2ccccc2Oc2ccccc2)on1,COc1cc(C(=O)Nc2ccccc2OC)ccc1
CCCc1nnc(NC(=O)NNc2ccccc2Cl)s1,CCCc1nnc(NC(=O)Nc2ccccc2Cl)s1
COC(=O)c1ccc(CNc2ccn(C)n2)[nH]1,COc1ccc(C(=O)NCc2cc[nH]n2)cc1Br
N#Cc1cc2c(cc1C#N)N1CCCc3c(Cl)ccc(c31)O2,N#Cc1cc(Cl)ccc1N1CCC[C@@H](CNc2ccc3c(c2)CCO3)C1
Oc1ccc(C[NH2+]C[C@H]2CCCC[C@H]2CCl)cc1,O=C(C[C@@H]1CCCO1)c1ccc(O)cc1
CCC[C@@H]1NC(=O)N(CC(=O)Nc2ccccc2Oc2ccccc2)C1=O,CCCCN1C(=O)[C@@H](Nc2ccccc2)C(=O)N1C
CC(C)[C@H](C)[NH+]1Cc2cccc(NCc3cc(=O)n4ccsc4[nH+]3)c2C1,C[C@H](Cc1ccccn1)Nc1cc2c(s1)CCC2
CC1(C)C(=O)N(CC2(CC(N)=S)CC2)S1(=O)=O,CC1(C)CC(=O)Nc2ccc(CN3C(=O)CCC(C)(C)C3)cc21
CS(=O)(=O)[C@H]1O[C@H]1c1ccc(Cl)cc1Cl,C[C@@H]1CSC[C@H]1c1cccc(Cl)c1S(=O)(=O)N1CCOC[C@@H]1c1cccc(Cl)c1
CCCc1ccc(C(=O)N[C@@H](C)c2cccc(S(=O)(=O)NC)c2)cc1,CCCc1ccc(C(=O)N[C@H](C)c2cccc(C)c2)cc1
CN(C(=O)CSc1nc2cc(Cl)ccc2o1)C1(C#N)CCCCC1,CN(CC1(c2ccc(Cl)cc2)CCCCC1)C(=O)NC1CCCCC1
O=C(COc1ncnc2ccc(Br)cc12)Nc1ccccc1Cl,O=C(COc1cccnc12)Nc1nccc2c1Cl
