CC(=O)NCCNC(=O)c1cnn(-c2ccc(C)c(Cl)c2)c1C1CC1,CCc1noc(CC)c1CNC(=O)C1CCC(C(C)(C)C)CC1
C[C@@H](C(=O)C1=c2ccccc2=[NH+]C1)[NH+]1CCC[C@@H]1[C@@H]1CC=CS1,CC(O)CC1CCCCN1C(=O)C(C)Oc1ccccc1C#N
CCN(C[C@@H]1CCOC1)C(=O)c1ccnc(Cl)c1,CCN(CC1CCOC1)C(=O)c1c(Cl)cnc2ccccc12
Cc1ccccc1C[S@](=O)CCCc1ccccc1,CC(C)(O)CS(=O)Cc1ccc(C(C)(C)C)cc1
CSCC(=O)NNC(=O)c1c(O)cc(Cl)cc1Cl,O=C(NCCc1ccc(Cl)cc1Cl)c1ccccc1Cl
c1ccc(-c2cc(N3C[C@H]4[C@@H]5CC[C@@H](O5)[C@H]4C3)c3ccccc3[nH+]2)cc1,CN(C)c1cc(C(=O)N2CCCC2C2CC2)c2ccccc2[nH+]1
Cc1cc(CNC(=O)Nc2cc(-c3ccccc3)on2)no1,Cc1cc(CNC(=O)NCC2(C)Cc3ccccc3C2)on1
Cc1ccn2c(=O)c(C(=O)Nc3n[n-]c(C(F)(F)F)n3)cnc2c1,Cc1cccc2nc(C(=O)NCC3(C4CC4)CCC3)cc(=O)n12
CN(Cc1ccncc1)C(=O)c1ccc(I)cc1,CN(Cc1ccc(O)cc1)C(=O)c1ccncc1F
COc1ccccc1N1CCN(c2ccc(=O)n(CC(=O)NC3CC3)n2)CC1,COc1ccccc1N1CCN(C(=O)CC2(O)CCCC2)CC1
COC(=O)Cn1nc(C)c(CNc2ncnc3sccc23)c1C,Cc1nn(C(C)C)c(C)c1CNC(=O)Cc1cccs1
C=CCNC(=O)Nc1ccc(F)c(NC(=O)OC)c1,COC(=O)Nc1cccc(NC(=O)c2ccccc2F)c1
c1cnn(C[C@H]2CN(CCCOc3ccc4c(c3)OCO4)CCO2)c1,CC1(n2cccn2)CCCN(CC2CNCCO2)C1=O
COc1cc(C(=O)Nc2ccccc2Oc2ccccc2)on1,COc1ccccc1NC(=O)c1cc(C(C)C)no1
CCCc1nnc(NC(=O)NNc2ccccc2Cl)s1,CCCc1nnc(NC(=O)c2ccc(C)s2)s1
COC(=O)c1ccc(CNc2ccn(C)n2)[nH]1,CC(C)Oc1cc(CNC(=O)c2ccc3c(c2)OCO3)ccn1
N#Cc1cc2c(cc1C#N)N1CCCc3c(Cl)ccc(c31)O2,N#Cc1ccccc1OCC(O)c1ccccc1Cl
Oc1ccc(C[NH2+]C[C@H]2CCCC[C@H]2CCl)cc1,CC1CCC(C[NH2+]Cc2cc3c(cc2Br)OCO3)C1
CCC[C@@H]1NC(=O)N(CC(=O)Nc2ccccc2Oc2ccccc2)C1=O,CCCC1C(=O)N(C)C(=O)C2C=CCNN21
CC(C)[C@H](C)[NH+]1Cc2cccc(NCc3cc(=O)n4ccsc4[nH+]3)c2C1,CC(C)C(O)c1ccn(Cc2ccc(C#N)nc2)c1
CC1(C)C(=O)N(CC2(CC(N)=S)CC2)S1(=O)=O,CC(CC(N)=O)N(C)C(=O)C1(c2ccccc2)CCCCC1
CS(=O)(=O)[C@H]1O[C@H]1c1ccc(Cl)cc1Cl,CS(=O)(=O)c1ccccc1C(=O)Nc1ccccc1Cl
CCCc1ccc(C(=O)N[C@@H](C)c2cccc(S(=O)(=O)NC)c2)cc1,CCc1ccc(C(=O)NC(C)c2ccncc2)cc1
CN(C(=O)CSc1nc2cc(Cl)ccc2o1)C1(C#N)CCCCC1,CN(CC(=O)Nc1ccc(Cl)cn1)C(=O)c1cccs1
O=C(COc1ncnc2ccc(Br)cc12)Nc1ccccc1Cl,O=C(CSC1CCCC1)Nc1cncc2ccccc12
COc1cccc(CN2CC=CC[C@@H](C3CC[NH+](Cc4ccccn4)CC3)C2=O)c1,COc1cc(C[NH+]2CCC(c3cccs3)CC2)cc(OC)c1
N#CCCCCNC(=O)N[C@@H](c1ccccc1F)C1CCCC1,CC(NC(=O)C1CCOCC1)c1ccccc1Br
N#CC1=C(N)OC2=C(C(=O)CCC2)[C@H]1[C@@H]1CC=CCC1,Cc1ccc(CNC(=O)c2cc(C#N)ccc2N2CCCCC2)o1
